url,type,purpose,area,bedroom,bath,added,price,location,location_city,source
https://www.olx.com.pk/item/6-kanal-plot-t-157515771578-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788824,Residential Plot,For Sale,6 Kanal,,,1 hour ago,Rs 50 Crore,"DHA Phase 7 - Block T, Lahore",Lahore,OLX
https://www.olx.com.pk/item/pair-plot-y-657658-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788819,Residential Plot,For Sale,2 Kanal,,,1 hour ago,Rs 13.50 Crore,"DHA Phase 7 - Block Y, Lahore",Lahore,OLX
https://www.olx.com.pk/item/pair-plot-y-17231724-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788816,Residential Plot,For Sale,2 Kanal,,,1 hour ago,Rs 8.50 Crore,"DHA Phase 7 - Block Y, Lahore",Lahore,OLX
https://www.olx.com.pk/item/pair-plot-x-10641065-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788814,Residential Plot,For Sale,2 Kanal,,,1 hour ago,Rs 10.50 Crore,"DHA Phase 7 - Block X, Lahore",Lahore,OLX
https://www.olx.com.pk/item/residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788806,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 5.99 Crore,"DHA Phase 7 - Block R, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-y-2266-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788805,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 5.50 Crore,"DHA Phase 7 - Block Y, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-y-647-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788801,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 5.50 Crore,"DHA Phase 7 - Block Y, Lahore",Lahore,OLX
https://www.olx.com.pk/item/corner-plot-t-1518-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788793,Residential Plot,For Sale,10 Marla,,,1 hour ago,Rs 2.89 Crore,"DHA Phase 7 - Block T, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-y-3708-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788790,Residential Plot,For Sale,10 Marla,,,1 hour ago,Rs 2.40 Crore,"DHA Phase 7 - Block Y, Lahore",Lahore,OLX
https://www.olx.com.pk/item/ivy-green-plot-z6-125-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788783,Residential Plot,For Sale,5 Marla,,,1 hour ago,Rs 1.20 Crore,"DHA Phase 8 - Block Z6, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-q-704-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788768,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 3.50 Crore,"DHA Phase 9 Prism - Block Q, Lahore",Lahore,OLX
https://www.olx.com.pk/item/special-building-11-marla-3-bed-flat-beside-mcdonald-for-sale-in-askari-11-lahore-iid-1118221744,Flat,For Sale,11 Marla,3,4,15 hours ago,Rs 4.25 Crore,"Askari 11 - Sector B Apartments, Lahore",Lahore,OLX
https://www.olx.com.pk/item/725-marla-brand-new-condition-owner-built-house-with-gas-available-for-sale-in-h-block-canal-garden-iid-1117547818,House,For Sale,7 Marla,5,5,5 days ago,Rs 2.85 Crore,"Canal Garden - Block H, Lahore",Lahore,OLX
https://www.olx.com.pk/item/pair-533-marla-pair-plot-in-m-block-iid-1118146515,Plot,For Sale,"1,199 SQFT",,,13 hours ago,Rs 1.42 Crore,"OLC 2 - Block M, Lahore",Lahore,OLX
https://www.olx.com.pk/item/10-marla-brand-new-lda-approved-house-size-3565-iid-1118083998,House,For Sale,10 Marla,5,6,23 hours ago,Rs 4.59 Crore,"Formanites Housing Scheme, Lahore",Lahore,OLX
https://www.olx.com.pk/item/vip-2-bedroom-luxury-furnished-apartment-available-for-sale-at-invester-rate-in-bahria-town-lahore-iid-1118070611,Room,For Sale,900 SQFT,2,2,1 week ago,Rs 1.40 Crore,"Bahria Town - Rafi Block, Lahore",Lahore,OLX
https://www.olx.com.pk/item/10-marla-beautiful-double-storey-oner-build-house-urgent-for-sale-vidh-10-kavi-solar-install-prime-location-in-sabzazar-iid-1118156055,House,For Sale,10 Marla,5,6,5 days ago,Rs 3.85 Crore,"Sabzazar, Lahore",Lahore,OLX
https://www.olx.com.pk/item/25-marla-flat-for-sale-at-very-prime-location-in-jubilee-town-iid-1118375243,Flat,For Sale,562 SQFT,1,1,1 week ago,Rs 80 Lacs,"Jubilee Town, Lahore",Lahore,OLX
https://www.olx.com.pk/item/5-marla-on-ground-plot-for-sale-in-g1-block-lda-city-lahore-prime-location-ready-to-build-excellent-investment-opportunity-iid-1118536632,Plot,For Sale,5 Marla,,,6 days ago,Rs 62 Lacs,"LDA City Phase 1 - Jinnah Sector, Lahore",Lahore,OLX
https://www.olx.com.pk/item/1-kanal-pair-plot-prime-corner-location-near-playground-block-m-dha-phase-9-prism-iid-1117668412,Plot,For Sale,2 Kanal,,,2 weeks ago,Rs 6.50 Crore,"DHA Phase 9 Prism - Block M, Lahore",Lahore,OLX
https://www.olx.com.pk/item/corner-plot-q-804-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788766,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 4 Crore,"DHA Phase 9 Prism - Block Q, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-r-24-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788764,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 3 Crore,"DHA Phase 9 Prism - Block R, Lahore",Lahore,OLX
https://www.olx.com.pk/item/2-kanal-house-for-sale-iid-1118788758,House,For Sale,40 Marla,6,6,1 hour ago,Rs 9.90 Crore,"Nespak Scheme Phase 2, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-m-285-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788755,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 3.10 Crore,"DHA Phase 9 Prism - Block M, Lahore",Lahore,OLX
