Bedroom,Bath,Area_sqft,Log_area_sqft,Area_per_bedroom,Bath_bedroom_ratio,Location_median_ppsf,Type_target_enc,City_target_enc,Source_OLX,Price_pkr,Log_price
5.0,6.0,5445.0,8.602453035,1089.0,1.2,15861.09024,17.52449479365033,17.48107115846154,0,65000000,17.98989783
5.0,6.0,2722.5,7.909305855,544.5,1.2,17079.88981,17.52449479365033,17.30474131619205,0,46000000,17.64415195
0.0,0.0,5445.0,8.602453035,5445.0,0.0,15861.09024,16.89827182589474,17.48107115846154,1,36000000,17.3990295
4.0,5.0,2722.5,7.909305855,680.625,1.25,17079.88981,17.52449479365033,17.30474131619205,0,48000000,17.68671157
6.0,7.0,2178.0,7.686162303,363.0,1.166666667,16446.280995,17.52449479365033,17.48107115846154,1,31500000,17.2654981
2.0,3.0,2232.45,7.710854916,1116.225,1.5,19283.74656,16.74009781756667,17.63082525563043,0,100000000,18.42068074
0.0,0.0,1361.25,7.216158674,1361.25,0.0,15861.09024,16.7407250003125,17.48107115846154,1,4400000,15.2971151
1.0,1.0,653.4,6.482189499,653.4,1.0,8754.904416,16.74009781756667,17.2241481738,0,5400000,15.50190951
3.0,3.0,1404.0,7.247080585,468.0,1.0,11093.905055,16.74009781756667,17.38481072169611,0,14500000,16.48965921
5.0,6.0,2722.5,7.909305855,544.5,1.2,8754.904416,17.52449479365033,17.2241481738,0,54000000,17.8044946
6.0,7.0,1080.0,6.98471632,180.0,1.166666667,32407.40741,17.52449479365033,17.38481072169611,1,48000000,17.68671157
5.0,5.0,1361.25,7.216158674,272.25,1.0,17447.19927,17.52449479365033,17.30474131619205,0,13500000,16.41820024
4.0,5.0,1633.5,7.398480231,408.375,1.25,14954.74223,17.52449479365033,17.2241481738,0,27500000,17.12969656
5.0,5.0,544.5,6.299867942,108.9,1.0,14325.06887,17.52449479365033,17.30474131619205,0,8500000,15.95557672
3.0,3.0,1368.0,7.221105098,456.0,1.0,14181.28655,17.03228004347826,17.38481072169611,0,18000000,16.70588232
1.0,1.0,408.375,6.01218587,408.375,1.0,14041.756535,16.74009781756667,17.0930370689899,0,5800000,15.57336848
0.0,1.0,1800.0,7.495541944,1800.0,0.0,22000.0,18.23946870666667,17.38481072169611,1,37000000,17.42642847
5.0,7.0,2178.0,7.686162303,435.6,1.4,13544.53627,17.52449479365033,17.63082525563043,0,29800000,17.21001895
4.0,4.0,1361.25,7.216158674,340.3125,1.0,16222.834405,17.52449479365033,17.2241481738,0,22500000,16.92902587
0.0,0.0,5400.0,8.594154233,5400.0,0.0,22812.5,16.89827182589474,17.38481072169611,1,150000000,18.82614585
3.0,4.0,1089.0,6.993015123,363.0,1.333333333,18732.78237,17.52449479365033,17.48107115846154,1,21000000,16.860033
2.0,2.0,700.0,6.551080335,350.0,1.0,22000.0,16.74009781756667,17.38481072169611,1,8000000,15.8949521
5.0,6.0,2967.525,7.995483551,593.505,1.2,15999.58439,17.52449479365033,17.2241481738,0,45000000,17.62217305
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,19467.40129,17.52449479365033,17.48107115846154,0,25200000,17.04235455
3.0,3.0,2722.5,7.909305855,907.5,1.0,12629.794445,16.74009781756667,17.48107115846154,0,31000000,17.24949776
