id,url,type,purpose,area,bedroom,bath,added,price,location,location_city,source
37,https://www.zameen.com/Property/lahore_iep_engineers_town_1_kanal_ultra_modern_house_available_for_sale_in_engineering_town_well_hot_location_lahore-54487411-8425-1.html,House,For Sale,1 Kanal,6,6,1 hour ago,PKR 6.4 Crore,"IEP Engineers Town, Lahore",Lahore,Zameen
38,https://www.zameen.com/Property/eden_eden_residencia_6_75_marla_corner_house_eden_residencia-54629780-3100-1.html,House,For Sale,6.8 Marla,3,4,20 minutes ago,PKR 2.9 Crore,"Eden Residencia, Eden",Lahore,Zameen
39,https://www.zameen.com/Property/lahore_khayaban-e-amin_5_marla_model_house_khayaban_e_amin-54644116-1514-1.html,House,For Sale,5 Marla,3,4,21 minutes ago,PKR 1.5 Crore,"Khayaban-e-Amin, Lahore",Lahore,Zameen
40,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_iqbal_block_ready_to_move_studio_apartment_for_sale_in_prime_location_i_multiple_options-54613516-1805-1.html,Apartment,For Sale,1.3 Marla,,1,25 minutes ago,PKR 45 Lakh,"Bahria Town - Iqbal Block, Bahria Town - Sector E",Lahore,Zameen
41,https://www.zameen.com/Property/nsit_city_zameen_eon_own_a_studio_apartment_at_zameen_eon_invest_in_eon_earn_pkr_214_000_month_the_future_of_luxury_living_in_lahore-54328871-22334-1.html,Apartment,For Sale,2 Marla,,1,50 minutes ago,PKR 2.14 Crore,"Zameen EON, NSIT City",Lahore,Zameen
42,https://www.zameen.com/Property/tip_housing_society_tip_housing_society_-_phase_2_1_kanal_single_storey_house_near_dha_11_rahabar-53813803-14059-1.html,House,For Sale,1 Kanal,3,4,1 hour ago,PKR 3.8 Crore,"TIP Housing Society - Phase 2, TIP Housing Society",Lahore,Zameen
43,https://www.zameen.com/Property/dha_defence_dha_phase_6_syed_brothers_proudly_offers_1-kanal_elegant_and_fully_maintained_old_bungalow_is_available_in_the_best_block_of_dha_lahore-54358411-1448-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 8.5 Crore,"DHA Phase 6, DHA Defence",Lahore,Zameen
44,https://www.zameen.com/Property/dha_defence_dha_phase_5_syed_brothers_proudly_offers_1-kanal_elegant_and_fully_furnished_bungalow_is_available_in_the_best_block_of_dha_lahore-54358416-1447-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 9.5 Crore,"DHA Phase 5, DHA Defence",Lahore,Zameen
45,https://www.zameen.com/Property/dha_defence_dha_phase_5_syed_brothers_proudly_offers_1-kanal_elegant_bungalow_is_available_in_the_best_block_of_dha_lahore-54358422-1447-1.html,Other,For Sale,1 Kanal,4,5,1 hour ago,PKR 9 Crore,"DHA Phase 5, DHA Defence",Lahore,Zameen
46,https://www.zameen.com/Property/dha_defence_dha_phase_3_syed_brothers_proudly_offers_2-kanal_elegant_bungalow_is_available_in_the_best_block_of_dha_lahore-54358511-1454-1.html,Other,For Sale,2 Kanal,6,7,1 hour ago,PKR 42 Crore,"DHA Phase 3, DHA Defence",Lahore,Zameen
47,https://www.zameen.com/Property/dha_defence_dha_phase_5_syed_brothers_proudly_offers_1-kanal_elegant_owner_build_bungalow_is_available_in_the_best_block_of_dha-54358495-1447-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 8.5 Crore,"DHA Phase 5, DHA Defence",Lahore,Zameen
48,https://www.zameen.com/Property/dha_defence_dha_phase_6_syed_brothers_proudly_offers_1-kanal_elegant_bungalow_with_cinema_pool_is_available_in_the_best_block_of_dha_lahore-54358501-1448-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 42 Crore,"DHA Phase 6, DHA Defence",Lahore,Zameen
49,https://www.zameen.com/Property/dha_defence_dha_phase_6_syed_brothers_proudly_offers_3-kanal_elegant_fully_furnished_modern_bungalow_with_basement_pool_cinema_is_available_in_the_best_block_of_dha_lahore-54358519-1448-1.html,Other,For Sale,3 Kanal,6,7,1 hour ago,PKR 60 Crore,"DHA Phase 6, DHA Defence",Lahore,Zameen
50,https://www.zameen.com/Property/dha_defence_dha_phase_1_brand_new_1-kanal_elegant_and_super_hot_located_bungalow_is_available_in_the_best_block_of_dha_lahore-54361977-1442-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 7.5 Crore,"DHA Phase 1, DHA Defence",Lahore,Zameen
51,https://www.zameen.com/Property/park_view_city_park_view_city_-_tulip_overseas_5_marla_house_available_for_sale_in_tulip_overseas_block_park_view_city_lahore-54652706-13754-1.html,House,For Sale,5 Marla,4,4,4 hours ago,PKR 2.25 Crore,"Park View City - Tulip Overseas, Park View City",Lahore,Zameen
52,https://www.zameen.com/Property/lahore_bedian_road_marvelous_farm_house_for_sale-54172530-378-1.html,Farm House,For Sale,4 Kanal,3,4,4 hours ago,PKR 6.8 Crore,"Bedian Road, Lahore",Lahore,Zameen
53,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_top_quality_build_luxurious_beautiful_ultra_modern_design_villa_with_basement_for_sale_in_dha_lahore_phase_6_prime_location_near_to_raya-54453313-1450-1.html,Villa,For Sale,1 Kanal,5,6,7 hours ago,PKR 8.35 Crore,"DHA Phase 7, DHA Defence",Lahore,Zameen
54,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_ultra_modern_designed_bungalow_with_basement_for_sale_top_location_in_dha_phase_6-52646080-1448-1.html,Other,For Sale,1 Kanal,5,6,7 hours ago,PKR 9.13 Crore,"DHA Phase 6, DHA Defence",Lahore,Zameen
55,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_j_ultra-luxury_1_kanal_brand_new_bungalow_private_swimming_pool_huge_car_parking_walking_distance_to_park_tim_hortons_dha_phase_6_100_original_deal-52567260-1618-1.html,Other,For Sale,1 Kanal,5,6,7 hours ago,PKR 9.19 Crore,"DHA Phase 6 - Block J, DHA Phase 6",Lahore,Zameen
56,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_brand_new_beautifully_designed_modren_architecht_bungalow-54647882-1450-1.html,Other,For Sale,1 Kanal,5,6,4 hours ago,PKR 7.75 Crore,"DHA Phase 7, DHA Defence",Lahore,Zameen
57,https://www.zameen.com/Property/dha_defence_dha_phase_6_designer_design_beautiful_house_is_available_for_sale_in_dha_phase_6-54689466-1448-1.html,House,For Sale,1 Kanal,5,6,4 hours ago,PKR 8.5 Crore,"DHA Phase 6, DHA Defence",Lahore,Zameen
58,https://www.zameen.com/Property/askari_askari_12_brand_new_13_marla_luxury_apartment_for_sale_in_askari_12_lahore-54662616-22537-1.html,Apartment,For Sale,13 Marla,4,4,5 hours ago,PKR 4 Crore,"Askari 12, Askari",Lahore,Zameen
59,https://www.zameen.com/Property/johar_town_johar_town_phase_2_5_marla_owner_built_house_for_sale_in_r1_block_johar_town_lahore_lda_transfer-54691848-3961-1.html,House,For Sale,5 Marla,3,4,5 hours ago,PKR 2.7 Crore,"Johar Town Phase 2, Johar Town",Lahore,Zameen
60,https://www.zameen.com/Property/johar_town_johar_town_phase_2_5_marla_owner_built_house_for_sale_in_r1_block_johar_town_lahore_lda_transfer-54691837-3961-1.html,House,For Sale,5 Marla,3,4,5 hours ago,PKR 2.65 Crore,"Johar Town Phase 2, Johar Town",Lahore,Zameen
61,https://www.zameen.com/Property/fazaia_housing_scheme_phase_1_fazaia_housing_scheme_phase_1_-_block_h_1_kanal_elegance_corner_plus_facing_park_modern_house_for_sale_in_executive_location_and_heart_of_fazaia_housing_society_phase_1-54635049-3772-1.html,House,For Sale,1 Kanal,6,6,2 hours ago,PKR 11.75 Crore,"Fazaia Housing Scheme Phase 1 - Block H, Fazaia Housing Scheme Phase 1",Lahore,Zameen
62,https://www.zameen.com/Property/eme_society_eme_society_-_block_d_for_sale_luxury_1_kanal_residential_house_block_d_eme_society_lahore-54650958-3748-1.html,House,For Sale,1 Kanal,5,5,2 hours ago,PKR 8 Crore,"EME Society - Block D, EME Society",Lahore,Zameen
63,https://www.zameen.com/Property/lahore_uet_housing_society_30_marla_owner_build_main_boulevard_house-54603880-615-1.html,House,For Sale,1.5 Kanal,4,5,1 hour ago,PKR 6.5 Crore,"UET Housing Society, Lahore",Lahore,Zameen
64,https://www.zameen.com/Property/lahore_iep_engineers_town_1_kanal_brand_new_house_for_sale_in_iep_town-54671127-8425-1.html,House,For Sale,18 Marla,5,6,1 hour ago,PKR 5.35 Crore,"IEP Engineers Town, Lahore",Lahore,Zameen
65,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_luxury_modern_house_for_sale_near_mcdonalds_prime_location-53107732-1632-1.html,House,For Sale,10 Marla,4,5,1 hour ago,PKR 5.05 Crore,"DHA Phase 7 - Block Y, DHA Phase 7",Lahore,Zameen
66,https://www.zameen.com/Property/dha_defence_dha_phase_4_eid_gift_for_serious_buyer_owner_built_well_maintained_fully_furnished_must_visit_then_real_idea_pics_not_upload_original_family_used-51815572-1446-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 6.25 Crore,"DHA Phase 4, DHA Defence",Lahore,Zameen
67,https://www.zameen.com/Property/dha_defence_dha_phase_6_on_main_150_feet_road_4-kanal_2-kanal_bungalow_2-kanal_lawn_elegant_and_fully_maintained_super_hot_located_bungalow_is_available_in_the_best_block_of_dha_phase_6_lahore-54361978-1448-1.html,Other,For Sale,4 Kanal,6,7,1 hour ago,PKR 52 Crore,"DHA Phase 6, DHA Defence",Lahore,Zameen
68,https://www.zameen.com/Property/dha_defence_dha_phase_6_brand_new_1-kanal_elegant_and_fully_furnished_super_hot_located_bungalow_is_available_in_the_best_block_of_dha_lahore-54361979-1448-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 15.5 Crore,"DHA Phase 6, DHA Defence",Lahore,Zameen
69,https://www.zameen.com/Property/dha_defence_dha_phase_8_brand_new_1-kanal_elegant_and_fully_maintained_super_hot_located_bungalow_is_available_in_the_best_block_of_dha_phase_8_lahore-54361980-1451-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 10.5 Crore,"DHA Phase 8, DHA Defence",Lahore,Zameen
70,https://www.zameen.com/Property/dha_defence_dha_9_town_brand_new_5-marla_elegant_and_super_hot_located_bungalow_is_available_in_the_best_block_of_dha_lahore-54361981-1452-1.html,Other,For Sale,5 Marla,3,4,1 hour ago,PKR 3.25 Crore,"DHA 9 Town, DHA Defence",Lahore,Zameen
71,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_ex_air_avenue_brand_new_10-marla_elegant_and_super_hot_located_bungalow_is_available_in_the_best_block_of_dha_lahore-54361983-407-1.html,Other,For Sale,10 Marla,4,5,1 hour ago,PKR 6.25 Crore,"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",Lahore,Zameen
72,https://www.zameen.com/Property/dha_defence_dha_phase_7_brand_new_1-kanal_elegant_and_super_hot_located_bungalow_is_available_in_the_best_block_of_dha_lahore-54361974-1450-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 9.9 Crore,"DHA Phase 7, DHA Defence",Lahore,Zameen
73,https://www.zameen.com/Property/dha_defence_dha_phase_6_brand_new_1-kanal_elegant_furnished_and_super_hot_located_bungalow_is_available_in_the_best_block_of_dha_lahore-54361976-1448-1.html,Other,For Sale,1 Kanal,6,7,1 hour ago,PKR 22 Crore,"DHA Phase 6, DHA Defence",Lahore,Zameen
74,https://www.zameen.com/Property/dha_defence_dha_9_town_brand_new_5-marla_elegant_and_super_hot_located_spanish_bungalow_is_available_in_the_best_block_of_dha_lahore-54361982-1452-1.html,Other,For Sale,5 Marla,3,4,1 hour ago,PKR 3.3 Crore,"DHA 9 Town, DHA Defence",Lahore,Zameen
75,https://www.zameen.com/Property/dha_defence_dha_phase_7_2_kanal_fully_furnished_with_basement_faisal_rasoo_design_bungalow_for_sale_in_phase_7_dha-54661808-1450-1.html,Other,For Sale,2 Kanal,7,6,7 hours ago,PKR 24 Crore,"DHA Phase 7, DHA Defence",Lahore,Zameen
76,https://www.zameen.com/Property/gt_road_bismillah_housing_scheme_5_marla_ultra_modern_house_for_sale_in_bismillah_housing_scheme-54426014-8446-1.html,House,For Sale,5 Marla,4,5,7 hours ago,PKR 2.6 Crore,"Bismillah Housing Scheme, GT Road",Lahore,Zameen
77,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_10_marla_slightly_used_house_for_sale_al_rehman_garden_phase2_lahore_p_block-54643669-4506-1.html,House,For Sale,10 Marla,5,6,7 hours ago,PKR 3.2 Crore,"Al Rehman Garden Phase 2, Al Rehman Garden",Lahore,Zameen
78,https://www.zameen.com/Property/dha_defence_dha_phase_3_d_h_a_lahore_4_kanal_brand_new_faisal_rasool_design_house_fully_furnished_with_100_original_pics_available_for_sale-52899644-1454-1.html,House,For Sale,4 Kanal,5,6,8 hours ago,PKR 53 Crore,"DHA Phase 3, DHA Defence",Lahore,Zameen
79,https://www.zameen.com/Property/dha_defence_dha_phase_5_dha_lahore_32_marla_owner_build_design_house_with_basement_with_100_original_pictures_available_for_sale-53424811-1447-1.html,House,For Sale,1.6 Kanal,7,7,8 hours ago,PKR 13 Crore,"DHA Phase 5, DHA Defence",Lahore,Zameen
80,https://www.zameen.com/Property/lahore_rehman_gardens_7_marla_ground_floor_flat_available_for_sale_in_rehman_gardens-54689460-4584-1.html,Flat,For Sale,7 Marla,3,3,5 hours ago,PKR 2 Crore,"Rehman Gardens, Lahore",Lahore,Zameen
81,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_d_before_buy_a_house_must_visit_a_material_solid_construction_exceptional_finishing_sector_d_nearest_to_attack_petrol_pump-54580727-8176-1.html,House,For Sale,5 Marla,3,5,5 hours ago,PKR 2.9 Crore,"DHA 9 Town - Block D, DHA 9 Town",Lahore,Zameen
82,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_exclusive_1_kanal_luxury_residence_prime_location_of_dha_phase_7_steps_away_from_mosque_park_its_fully_designer_bungalow_best_for_investment-54499041-1632-1.html,Other,For Sale,1 Kanal,5,7,7 hours ago,PKR 8.25 Crore,"DHA Phase 7 - Block Y, DHA Phase 7",Lahore,Zameen
83,https://www.zameen.com/Property/dha_defence_dha_phase_7_3-kanal_full_basement_elegant_and_fully_maintained_bungalow_is_available_in_the_best_block_of_dha_lahore-54686137-1450-1.html,Other,For Sale,3 Kanal,6,7,8 hours ago,PKR 24.9 Crore,"DHA Phase 7, DHA Defence",Lahore,Zameen
84,https://www.zameen.com/Property/askari_9_askari_9_-_block_b_beautiful_house_4_bedrooms_available_for_sale_in_askari-9-54569939-9426-1.html,Room,For Sale,10 Marla,4,5,8 hours ago,PKR 5.15 Crore,"Askari 9 - Block B, Askari 9",Lahore,Zameen
85,https://www.zameen.com/Property/dha_defence_dha_phase_8_2_kanal_brand_new_ultra-luxury_royal_bungalow_fully_furnished_prime_hot_location_dha_phase_8_100_original_deal-53669331-1451-1.html,Other,For Sale,2 Kanal,6,6,3 hours ago,PKR 18.75 Crore,"DHA Phase 8, DHA Defence",Lahore,Zameen
86,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_c_1_kanal_luxury_modern_unit_house_for_sale_ready_to_move_in_at_dha_phase_6_lahore-53199802-1612-1.html,House,For Sale,1 Kanal,5,6,3 hours ago,PKR 12 Crore,"DHA Phase 6 - Block C, DHA Phase 6",Lahore,Zameen
87,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_b_plot_price_7_75_cr_complete_house_11_60_cr_final_b_block_dha_lahore_ki_exceptional_opportunity-54674756-1611-1.html,House,For Sale,1 Kanal,5,6,1 hour ago,PKR 11.6 Crore,"DHA Phase 6 - Block B, DHA Phase 6",Lahore,Zameen
88,https://www.zameen.com/Property/lahore_hbfc_housing_society_corner_owner_built_3_bed_room_house_confirm_option_available_for_sale-54678524-1718-1.html,Room,For Sale,1 Kanal,3,4,1 hour ago,PKR 5.75 Crore,"HBFC Housing Society, Lahore",Lahore,Zameen
89,https://www.zameen.com/Property/johar_town_johar_town_phase_2_12_marla_house_owner_build_almost_good_condition_7_bed_tile_marble_flooring_best_for_investment_purposes-54380820-3961-1.html,House,For Sale,12 Marla,7,6,2 hours ago,PKR 4.3 Crore,"Johar Town Phase 2, Johar Town",Lahore,Zameen
90,https://www.zameen.com/Property/johar_town_johar_town_phase_1_12_marla_brand-new_modern_house_for_sale_in_johar_town_phase_1_gated_community_prime_location-54279578-3937-1.html,House,For Sale,12 Marla,6,6,2 hours ago,PKR 7.4 Crore,"Johar Town Phase 1, Johar Town",Lahore,Zameen
91,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_c_1st_floor_apartment_for_sale_alif_holding_building_sector_c_bahria_town_lahore-54279579-1784-1.html,Apartment,For Sale,1.8 Marla,1,1,2 hours ago,PKR 55 Lakh,"Bahria Town - Sector C, Bahria Town",Lahore,Zameen
92,https://www.zameen.com/Property/dha_defence_dha_phase_7_brilliant_design_house_for_sale_in_dha_phase_7_lahore-52188554-1450-1.html,House,For Sale,1 Kanal,5,6,1 hour ago,PKR 7.25 Crore,"DHA Phase 7, DHA Defence",Lahore,Zameen
93,https://www.zameen.com/Property/dha_defence_dha_phase_6_modern_with_double_height_lobby_house_for_sale_in_dha_lahore-52000542-1448-1.html,House,For Sale,1 Kanal,5,6,1 hour ago,PKR 8.76 Crore,"DHA Phase 6, DHA Defence",Lahore,Zameen
